,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
1001,202310,NOVA PETRÓPOLIS,RIO GRANDE DO SUL,SUL,176623,26846,108158,67737
1002,202310,BACABAL,MARANHÃO,NORDESTE,1867853,77670,1368911,261135
1003,202310,CORDEIROS,BAHIA,NORDESTE,54870,1981,31483,4450
1004,202310,CARACOL,MATO GROSSO DO SUL,CENTRO-OESTE,55792,3595,34475,9560
1005,202310,GOVERNADOR NEWTON BELLO,MARANHÃO,NORDESTE,111631,1080,71973,4908
1006,202310,SENHOR DO BONFIM,BAHIA,NORDESTE,1199833,53169,874277,146452
1007,202310,IRAÍ,RIO GRANDE DO SUL,SUL,46723,4054,25342,9967
1008,202310,SANTA EFIGÊNIA DE MINAS,MINAS GERAIS,SUDESTE,38470,962,28732,3834
1009,202310,CONCEIÇÃO DO LAGO-AÇU,MARANHÃO,NORDESTE,175254,1625,116106,6645
1010,202310,PRESIDENTE KENNEDY,TOCANTINS,NORTE,50282,2682,32245,8005
1011,202310,SALGADINHO,PERNAMBUCO,NORDESTE,57750,514,46776,1053
1012,202310,IGARASSU,PERNAMBUCO,NORDESTE,1867023,82591,1390335,218866
1013,202310,CAÉM,BAHIA,NORDESTE,119545,2047,82405,4080
1014,202310,SÃO FRANCISCO DE ITABAPOANA,RIO DE JANEIRO,SUDESTE,506014,31369,367510,81780
1015,202310,FORQUETINHA,RIO GRANDE DO SUL,SUL,8039,554,4571,870
1016,202310,PIRAQUÊ,TOCANTINS,NORTE,47858,996,27919,1989
1017,202310,SANTANA,BAHIA,NORDESTE,207004,6282,140081,17927
1018,202310,PORTO SEGURO,BAHIA,NORDESTE,3187200,284421,2411703,729922
1019,202310,SANTO ÂNGELO,RIO GRANDE DO SUL,SUL,784307,88026,495034,215426
1020,202310,SÃO GERALDO DO ARAGUAIA,PARÁ,NORTE,454143,16800,280624,60184
1021,202310,DILERMANDO DE AGUIAR,RIO GRANDE DO SUL,SUL,15298,949,8848,2381
1022,202310,HELIÓPOLIS,BAHIA,NORDESTE,128535,2417,82818,7218
1023,202310,LAGO DO JUNCO,MARANHÃO,NORDESTE,105803,1444,64214,6346
1024,202310,PALMEIRÂNDIA,MARANHÃO,NORDESTE,212176,2079,133026,6978
1025,202310,SANTA HELENA,MARANHÃO,NORDESTE,432769,11710,304484,30285
1026,202310,MATINHA,MARANHÃO,NORDESTE,213588,5029,147408,16420
1027,202310,CANDÓI,PARANÁ,SUL,157964,14195,85047,33172
1028,202310,ANASTÁCIO,MATO GROSSO DO SUL,CENTRO-OESTE,329459,22852,210081,47870
1029,202310,PIÇARRA,PARÁ,NORTE,159153,5217,89709,22305
1030,202310,SALVADOR,BAHIA,NORDESTE,64031527,11314150,50282881,33494609
1031,202310,SÃO MARTINHO DA SERRA,RIO GRANDE DO SUL,SUL,14952,874,8421,2226
